E_b_keV,C_45_Rm4_ground_truth,C_45_Rm5_ground_truth,C_45_Rm6_ground_truth,C_45_Rm7_ground_truth,C_45_Rm8_ground_truth,C_45_Rm9_ground_truth,C_45_Rm10_ground_truth,C_45_Rm11_ground_truth,C_45_Rm12_ground_truth,C_45_Rm13_ground_truth,C_45_Rm14_ground_truth,C_45_Rm15_ground_truth,C_45_Rm16_ground_truth,C_45_Rm4_2Dfit,Residual_Rm4,C_45_Rm5_2Dfit,Residual_Rm5,C_45_Rm6_2Dfit,Residual_Rm6,C_45_Rm7_2Dfit,Residual_Rm7,C_45_Rm8_2Dfit,Residual_Rm8,C_45_Rm9_2Dfit,Residual_Rm9,C_45_Rm10_2Dfit,Residual_Rm10,C_45_Rm11_2Dfit,Residual_Rm11,C_45_Rm12_2Dfit,Residual_Rm12,C_45_Rm13_2Dfit,Residual_Rm13,C_45_Rm14_2Dfit,Residual_Rm14,C_45_Rm15_2Dfit,Residual_Rm15,C_45_Rm16_2Dfit,Residual_Rm16
53.0,0.12895997927739553,0.1349995752785462,0.1394090696437298,0.1427687417171949,0.1438821415344606,0.14805801788970582,0.15029369913026733,0.1522050411151384,0.15385782610837562,0.15530058357672266,0.1565700224637435,0.15769450280162833,0.15869633368471148,0.12763055583083582,0.0013294234465597021,0.13390776924803818,0.0010918060305080135,0.1386311578797192,0.000777911764010597,0.14234024068876105,0.0004285010284338364,0.1453424958610275,-0.0014603543265668817,0.1478283176888585,0.00022970020084731035,0.14992300926105998,0.00037068986920735236,0.15171298513270667,0.0004920559824317383,0.15326009303776827,0.0005977330706073425,0.1546099538027678,0.0006906297739548706,0.1557970717928536,0.0007729506708898937,0.15684810055278345,0.0008464022488448852,0.15778400425099992,0.0009123294337115562
54.0,0.1291569053804076,0.13524058576909018,0.1396892525456765,0.14308425652571508,0.1442285276505801,0.14843596361899591,0.1506996779408482,0.1526372169876011,0.1543146131504344,0.15578059660655952,0.15707203996367838,0.15821743858237966,0.15923921482756534,0.12781422543286405,0.001342679947543557,0.13410902332618613,0.0011315624429040494,0.1388467795210016,0.0008424730246748835,0.14256800993158653,0.0005162465941285499,0.14558078783494247,-0.0013522601843623527,0.14807589136939514,0.00036007224960077355,0.15017888571109467,0.0005207922297535417,0.1519763723513514,0.0006608446362497133,0.1535303370509375,0.0007842760994969111,0.15488650545545132,0.000894091151108195,0.1560794634075658,0.0009925765561125954,0.15713592904207238,0.0010815095403072794,0.1580769185968017,0.0011622962307636375
55.0,0.12932411187707632,0.13543139746247482,0.13990045962333672,0.14331348542702851,0.14447531674094513,0.14869561901700395,0.15097239585228295,0.1529220158327509,0.15461066037479432,0.15608717622275747,0.1573885290074128,0.15854328959469424,0.15957394253583224,0.12799556342114196,0.0013285484559343586,0.13430794579058378,0.0011234516718910403,0.13906006954853373,0.0008403900748029935,0.14279344756066167,0.0005200378663668404,0.14581674819510715,-0.0013414314541620176,0.14832113343618147,0.0003744855808224812,0.1504324305473791,0.0005399653049038555,0.15223742795624584,0.0006845878765050495,0.15379824945035636,0.0008124109244379563,0.1551607254943846,0.0009264507283728851,0.15635952340852777,0.0010290055988850244,0.15742142591761102,0.0011218636770832235,0.15836750132885313,0.001206441206979103
56.0,0.1295210379800884,0.13567748411737782,0.14019044207985323,0.14364319739701686,0.14485831442541552,0.14908928782096728,0.15139160428268028,0.15336501673314865,0.1550759536464587,0.15657345823337082,0.1578946551300549,0.15906824584459542,0.16011682367868607,0.12817456979566952,0.0013464681844188864,0.13450453664123105,0.0011729474761467684,0.13927102796231544,0.0009194141175377923,0.14301655357598647,0.0006266438210303926,0.14605037694152148,-0.0011920625161059573,0.1485640438892174,0.0005252439317498803,0.15068364376991317,0.000707960512767114,0.1524961519473899,0.0008688647857587328,0.1540638302360249,0.0010121234104338017,0.1554326139195675,0.0011408443138033186,0.1566372517957393,0.0012574033343155933,0.15770459117939925,0.0013636546651961678,0.15865575244715424,0.0014610712315318297
57.0,0.12968824447675714,0.1358662277438014,0.14039765674639246,0.14386664226958407,0.14509018769163762,0.14934253752188623,0.15165893234900463,0.1536454053817323,0.1553685353698682,0.15687748382036348,0.15820947029046414,0.1593932737028119,0.16045155138695297,0.12835124455644678,0.001336999920310361,0.13469879587812808,0.0011674318656733074,0.13947965476234697,0.0009180019840454856,0.143237327977561,0.0006293142920230643,0.14628167407418552,-0.0011914863825479016,0.14880462272850312,0.0005379147933831097,0.15093252537869695,0.0007264069703076803,0.1527525443247837,0.0008928610569486073,0.15432707940794316,0.0010414559619250363,0.15570217073100007,0.0011753130893634167,0.15691264856920062,0.0012968217212635247,0.15798542482743727,0.0014078488753746232,0.15894167195170505,0.0015098794352479128
58.0,0.1298851705797692,0.13610918879750186,0.1406816052179192,0.14418761246885356,0.14545148963190008,0.14972622696253526,0.15206941318714637,0.1540808889971207,0.15582748093003718,0.15735854851452757,0.15871147223352916,0.15991516369365777,0.16099239100926363,0.12852558770347372,0.0013595828762954787,0.13489072350127473,0.001218465296227128,0.13968594994862807,0.0009956552692911291,0.14345577076538515,0.0007318417034684055,0.14651063959309923,-0.0010591499611991573,0.14904286995403845,0.0006833570084968099,0.15117907537373038,0.0008903378134159923,0.15300660508842717,0.0010742839086935185,0.15458799696611109,0.0012394839639260913,0.15596939592868236,0.0013891525858452103,0.15718571372891157,0.0015257585046175859,0.1582639268617249,0.0016512368319328563,0.15922525984250557,0.001767131166758057
59.0,0.13004816994523138,0.1363009773680701,0.1408986523988963,0.1444272335985124,0.14572939855536335,0.1499987734043526,0.15235330862043234,0.15437520976208266,0.15613145109359727,0.15767150636954086,0.1590328463128976,0.16024445512598134,0.16132916023807373,0.12869759923675037,0.0013505707084810192,0.13508031951067115,0.0012206578573989435,0.13988991352115895,0.0010087388777373363,0.1436718819394591,0.0007553516590532994,0.14673727349826268,-0.0010078749428993339,0.14927878556582355,0.000719987838529057,0.15142329375501357,0.0009300148654187712,0.15325833423832033,0.0011168755237623285,0.15484658291052872,0.0012848681830685549,0.15623428951261434,0.001437216856926521,0.15745644727487226,0.001576399038025339,0.15854009728226232,0.0017043578437190288,0.15950651611955577,0.0018226441185179576
60.0,0.13020982087120433,0.13651683716468227,0.1411634365571923,0.14473663297145875,0.14611239623983371,0.15037585100549913,0.15275502388962292,0.1547998813017955,0.15657763479393355,0.15813794690712,0.1595184412149505,0.1607482275476063,0.16185023794152598,0.1288672791562767,0.0013425417149276475,0.13526758390631716,0.0012492532583651128,0.14009154547993943,0.0010718910772528623,0.1438856614997826,0.0008509714716761485,0.14696157578967572,-0.0008491795498420107,0.14951236956385824,0.0008634814416408898,0.15166518052254635,0.0010898433670765706,0.15350773177446317,0.001292149527332337,0.15510283724119603,0.0014747975527375223,0.15649685148279602,0.001641095424323974,0.15772484920708257,0.001793592007867939,0.1588139360890493,0.0019342914585569748,0.15978544078285564,0.002064797158670334
61.0,0.13030874239213672,0.1366469735559355,0.14132169006147935,0.14492049228863602,0.14632257376184787,0.15060407977250856,0.1530026619352049,0.15506570788970708,0.15686058936661854,0.158437098647262,0.15983296591074111,0.16107738970122876,0.16219337671443093,0.12903462746205266,0.0012741149300840582,0.1354525166882129,0.0011944568677225986,0.14029084582496967,0.001030844236509676,0.1440971094463559,0.0008233828422801182,0.14718354646733853,-0.0008609727054906535,0.1497436219481427,0.0008604578243658623,0.1519047356763289,0.001097926258876003,0.15375479769685568,0.0013109101928514,0.155356759958113,0.001503829408505547,0.15675708183922732,0.0016800168080346733,0.1579909195255426,0.0018420463851985258,0.15908544328208607,0.0019919464191426872,0.16006203383240517,0.0021313428820257663
62.0,0.13045178485315784,0.13682609850692082,0.1415330473605575,0.14516103167641928,0.1465701086434201,0.15090291903272127,0.15333103026779688,0.15542182108431468,0.15724288809949333,0.15884420763485785,0.16026366235084732,0.16153057855159403,0.16266807107114115,0.12919964415407836,0.0012521406990794737,0.13563511785635832,0.001190980650562501,0.14048781455624956,0.0010452328043079329,0.14430622577917881,0.0008548058972404626,0.14740318553125098,-0.0008330768878308803,0.14997254271867677,0.0009303763140444954,0.1521419592163611,0.001189071051435786,0.15399953200549793,0.001422289078816752,0.15560835106127968,0.001634537038213646,0.1570149805819084,0.0018292270529494392,0.15825465823025234,0.002009004120594987,0.15935461886137248,0.0021759596902215517,0.16033629526820442,0.0023317758029367253
