B_0_vac,B_m,N_rho,Rev_per_vol_opt,n_20_opt,E_b100_opt,P_nbi_opt,NWL_at_opt_Rev_per_vol,a_0_opt,a_0_limit_opt,L_mirror_opt,V_plasma_opt,a_w_opt,B_w_opt,q_w_opt
5.75,25,12,4960628858.126034,2.9970566132264524,0.668937875751503,14.91879698725945,1.2829009782323373,0.1,eng,3.0,0.06457636174635573,0.6879166207977934,0.10599109822866508,4.683225757218902
6.0,25,12,4933092562.910029,2.9919839679358713,0.729058116232465,14.794810168313012,1.3155346854219143,0.1,eng,3.0,0.064953274417601,0.6878135484612109,0.1106515682028698,4.651951830342523
6.25,25,12,4906329387.684647,2.9898651469605877,0.7931863727454909,14.7105930599689,1.3420601865971211,0.10000128625757862,DCLC,3.0,0.06532226812994651,0.6872112408844534,0.1154154956259884,4.638642910349143
6.5,25,12,,,,,,,,,,,,
6.75,25,12,,,,,,,,,,,,
7.0,25,12,,,,,,,,,,,,
2.5,28,12,,,,,,,,,,,,
2.75,28,12,,,,,,,,,,,,
3.0,28,12,1676575221.3330042,2.278557114228457,0.3022044088176353,14.983021851277655,0.5016993285593723,0.1398460783322026,DCLC,3.3563058799728624,0.12325321307347467,0.8126669682361776,0.07124048980249954,3.3190536994853153
3.25,28,12,2217357736.602184,2.6698501169004674,0.2681362725450902,14.84535383845841,0.50203648015168,0.11523330938983746,DCLC,3.0,0.0793283406821968,0.7376943869793501,0.06710490759608975,3.970045393945435
3.5,28,12,2652542242.5402875,2.891700066800267,0.26012024048096194,14.810411268206868,0.5014387793598537,0.10253380896302611,DCLC,3.0,0.06338139477876119,0.6958586131537261,0.06609423377175175,4.443968733568659
3.75,28,12,3023172873.1000037,2.840524799599198,0.2901803607214429,13.472490004167984,0.557912904271511,0.10003596860757023,DCLC,3.0,0.0607861493615361,0.6873303995247804,0.06980885372854133,4.15512560258918
4.0,28,12,3424760186.348265,3.01002004008016,0.32424849699398794,14.905848416128977,0.7280828221133134,0.10001236822260134,DCLC,3.0,0.06109277561514443,0.6872493175944796,0.07379305402755175,4.612547260265663
